DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Similarity
COLOR	#ff0000
DATA
Sporidiobolus_salmonicolor_Ssal-KRED	#59C959	High (100.0%)
Candida_tropicalis_EER30950	#87CEEB	Low (32.0%)
Capronia_coronata_EXJ93923	#87CEEB	Low (37.2%)
Capronia_coronata_EXJ90187	#EAFF80	Medium (40.9%)
Capronia_coronata_EXJ90270	#87CEEB	Low (34.6%)
Capronia_coronata_EXJ87758	#87CEEB	Low (37.0%)
Capronia_coronata_EXJ88190	#87CEEB	Low (31.4%)
Capronia_coronata_EXJ88643	#EAFF80	Medium (43.5%)
Capronia_coronata_EXJ85673	#87CEEB	Low (34.6%)
Capronia_coronata_EXJ83613	#905799	Far distant (28.2%)
Capronia_coronata_EXJ81899	#87CEEB	Low (36.8%)
Capronia_coronata_EXJ80214	#87CEEB	Low (33.7%)
Capronia_epimyces_EXJ92162	#87CEEB	Low (35.3%)
Capronia_epimyces_EXJ77340	#87CEEB	Low (38.7%)
Capronia_epimyces_EXJ89397	#87CEEB	Low (38.8%)
Capronia_epimyces_EXJ86407	#87CEEB	Low (31.9%)
Capronia_epimyces_EXJ86847	#87CEEB	Low (32.3%)
Capronia_epimyces_EXJ86981	#87CEEB	Low (31.0%)
Capronia_epimyces_EXJ84020	#87CEEB	Low (36.1%)
Capronia_epimyces_EXJ80703	#87CEEB	Low (35.2%)
Capronia_epimyces_EXJ79557	#87CEEB	Low (39.9%)
Capronia_epimyces_EXJ77931	#87CEEB	Low (33.7%)
Ceraceosorus_bombacis_CEH13278	#87CEEB	Low (32.1%)
Ceraceosorus_bombacis_CEH14502	#87CEEB	Low (32.5%)
Ceraceosorus_bombacis_CEH18115	#87CEEB	Low (33.1%)
Ceraceosorus_bombacis_CEH16095	#87CEEB	Low (34.9%)
Ceraceosorus_bombacis_CEH11975	#905799	Far distant (28.9%)
Ceraceosorus_guamensis_PWN44309	#87CEEB	Low (34.2%)
Ceraceosorus_guamensis_PWN43772	#905799	Far distant (21.3%)
Ceraceosorus_guamensis_PWN41849	#87CEEB	Low (32.1%)
Ceraceosorus_guamensis_PWN40454	#905799	Far distant (26.8%)
Ceraceosorus_guamensis_PWN39818	#87CEEB	Low (33.1%)
Ceratocystis_platani_KKF96842	#87CEEB	Low (32.8%)
Ceratocystis_platani_KKF92996	#905799	Far distant (29.5%)
Cercospora_berteroae_PPJ52283	#905799	Far distant (26.3%)
Cercospora_berteroae_PPJ51851	#905799	Far distant (29.5%)
Cercospora_berteroae_PPJ60982	#87CEEB	Low (35.3%)
Cercospora_berteroae_PPJ60303	#87CEEB	Low (35.4%)
Cercospora_berteroae_PPJ59714	#87CEEB	Low (35.6%)
Cercospora_berteroae_PPJ55888	#87CEEB	Low (38.2%)
Cercospora_berteroae_PPJ54336	#87CEEB	Low (39.7%)
Cercospora_berteroae_PPJ54322	#87CEEB	Low (39.9%)
Cercospora_berteroae_PPJ53749	#87CEEB	Low (32.4%)
Cercospora_berteroae_PPJ53311	#905799	Far distant (28.9%)
Cercospora_beticola_PIB01981	#EAFF80	Medium (40.5%)
Cercospora_beticola_PIB00776	#87CEEB	Low (31.2%)
Cercospora_beticola_PIB02402	#905799	Far distant (28.9%)
Cercospora_beticola_PIB00652	#87CEEB	Low (35.8%)
Cercospora_beticola_PIB00434	#87CEEB	Low (36.7%)
Cercospora_beticola_PIA98457	#87CEEB	Low (38.9%)
Cercospora_beticola_PIA93467	#905799	Far distant (27.4%)
Cercospora_beticola_PIA93269	#87CEEB	Low (34.9%)
Cercospora_beticola_PIA93069	#905799	Far distant (24.7%)
Cercospora_beticola_PIA92275	#87CEEB	Low (32.5%)
Cercospora_zeina_PKR95043	#87CEEB	Low (35.7%)
Cercospora_zeina_PKS01493	#905799	Far distant (29.9%)
Cercospora_zeina_PKS00985	#87CEEB	Low (34.4%)
Cercospora_zeina_PKR94763	#87CEEB	Low (38.6%)
Cercospora_zeina_PKR98477	#905799	Far distant (28.2%)
Cercospora_zeina_PKR97464	#905799	Far distant (15.0%)
Cercospora_zeina_PKS02948	#905799	Far distant (28.6%)
Chaetomium_globosum_EAQ92052	#87CEEB	Low (39.0%)
Chaetomium_globosum_EAQ91618	#87CEEB	Low (33.9%)
Chaetomium_globosum_EAQ89372	#87CEEB	Low (32.9%)
Chaetomium_globosum_EAQ90094	#905799	Far distant (26.4%)
Chaetomium_globosum_EAQ88586	#87CEEB	Low (35.1%)
Chaetomium_globosum_EAQ85675	#87CEEB	Low (30.4%)
Chaetomium_globosum_EAQ86818	#87CEEB	Low (32.7%)
Chaetomium_globosum_EAQ85404	#87CEEB	Low (34.2%)
Chaetomium_globosum_EAQ85507	#87CEEB	Low (33.7%)
Chaetomium_thermophilum_EGS23464	#87CEEB	Low (34.4%)
Chaetomium_thermophilum_EGS22255	#905799	Far distant (26.6%)
Chaetomium_thermophilum_EGS19486	#87CEEB	Low (31.8%)
Chaetomium_thermophilum_EGS17148	#87CEEB	Low (37.2%)
Cladophialophora_bantiana_KIW97650	#EAFF80	Medium (46.4%)
Cladophialophora_bantiana_KIW97794	#905799	Far distant (29.6%)
Cladophialophora_bantiana_KIW98041	#905799	Far distant (25.9%)
Cladophialophora_bantiana_KIW96741	#87CEEB	Low (31.1%)
Cladophialophora_bantiana_KIW96389	#87CEEB	Low (30.1%)
Cladophialophora_bantiana_KIW93106	#87CEEB	Low (30.9%)
Cladophialophora_bantiana_KIW92752	#EAFF80	Medium (43.2%)
Cladophialophora_bantiana_KIW92057	#87CEEB	Low (33.2%)
Cladophialophora_bantiana_KIW92430	#87CEEB	Low (34.1%)
Cladophialophora_bantiana_KIW91465	#87CEEB	Low (33.8%)
Cladophialophora_bantiana_KIW91654	#87CEEB	Low (32.0%)
Cladophialophora_bantiana_KIW90623	#87CEEB	Low (31.2%)
Cladophialophora_bantiana_KIW88060	#905799	Far distant (25.1%)
Cladophialophora_bantiana_KIW87884	#905799	Far distant (28.3%)
Cladophialophora_bantiana_KIW87170	#87CEEB	Low (31.7%)
Cladophialophora_bantiana_KIW86887	#87CEEB	Low (37.0%)
Cladophialophora_carrionii_ETI27685	#87CEEB	Low (31.3%)
Cladophialophora_carrionii_ETI29037	#87CEEB	Low (35.0%)
Cladophialophora_carrionii_ETI27330	#87CEEB	Low (34.9%)
Cladophialophora_carrionii_ETI27365	#87CEEB	Low (35.6%)
Cladophialophora_carrionii_ETI25748	#EAFF80	Medium (47.0%)
Cladophialophora_carrionii_ETI25823	#87CEEB	Low (32.7%)
Cladophialophora_carrionii_ETI26559	#87CEEB	Low (33.7%)
Cladophialophora_carrionii_ETI23161	#87CEEB	Low (33.6%)
Cladophialophora_carrionii_ETI23494	#87CEEB	Low (33.1%)
Cladophialophora_carrionii_ETI22618	#87CEEB	Low (30.8%)
Cladophialophora_carrionii_ETI21033	#EAFF80	Medium (40.9%)
Cladophialophora_carrionii_ETI21034	#87CEEB	Low (37.1%)
Cladophialophora_carrionii_ETI21248	#87CEEB	Low (31.5%)
Cladophialophora_carrionii_ETI21466	#905799	Far distant (28.5%)
Cladophialophora_carrionii_ETI19921	#905799	Far distant (25.5%)
Cladophialophora_carrionii_ETI19945	#87CEEB	Low (33.0%)
Cladophialophora_immunda_KIW33220	#905799	Far distant (28.4%)
Cladophialophora_immunda_KIW33782	#87CEEB	Low (32.0%)
Cladophialophora_immunda_KIW34267	#87CEEB	Low (34.4%)
Cladophialophora_immunda_KIW34972	#905799	Far distant (24.0%)
Cladophialophora_immunda_KIW33080	#87CEEB	Low (35.5%)
Cladophialophora_immunda_KIW26800	#87CEEB	Low (32.6%)
Cladophialophora_immunda_KIW27566	#87CEEB	Low (31.5%)
Cladophialophora_immunda_KIW25399	#87CEEB	Low (31.5%)
Cladophialophora_immunda_KIW24729	#87CEEB	Low (39.6%)
Cladophialophora_immunda_KIW25040	#905799	Far distant (17.9%)
Cladophialophora_immunda_KIW25041	#87CEEB	Low (33.0%)
Cladophialophora_immunda_KIW22610	#87CEEB	Low (34.4%)
Cladophialophora_immunda_KIW22609	#87CEEB	Low (34.4%)
Cladophialophora_immunda_KIW23252	#905799	Far distant (29.7%)
Cladophialophora_immunda_KIW23562	#EAFF80	Medium (48.2%)
Cladophialophora_psammophila_EXJ68875	#87CEEB	Low (31.0%)
Cladophialophora_psammophila_EXJ67319	#EAFF80	Medium (48.2%)
Cladophialophora_psammophila_EXJ75141	#905799	Far distant (26.8%)
Cladophialophora_psammophila_EXJ75406	#905799	Far distant (27.2%)
Cladophialophora_psammophila_EXJ66169	#87CEEB	Low (31.7%)
Cladophialophora_psammophila_EXJ65953	#905799	Far distant (27.7%)
Cladophialophora_psammophila_EXJ63566	#87CEEB	Low (33.0%)
Cladophialophora_psammophila_EXJ74211	#87CEEB	Low (32.0%)
Cladophialophora_psammophila_EXJ74587	#87CEEB	Low (33.7%)
Cladophialophora_psammophila_EXJ61227	#87CEEB	Low (30.9%)
Cladophialophora_psammophila_EXJ54916	#87CEEB	Low (33.5%)
Cladophialophora_psammophila_EXJ53550	#87CEEB	Low (37.4%)
Cladophialophora_psammophila_EXJ73031	#905799	Far distant (28.6%)
Cladophialophora_psammophila_EXJ70689	#905799	Far distant (24.7%)
Cladophialophora_yegresii_EXJ63791	#87CEEB	Low (30.9%)
Cladophialophora_yegresii_EXJ63811	#87CEEB	Low (39.7%)
Cladophialophora_yegresii_EXJ61597	#87CEEB	Low (30.9%)
Cladophialophora_yegresii_EXJ61994	#905799	Far distant (27.0%)
Cladophialophora_yegresii_EXJ62661	#87CEEB	Low (31.0%)
Cladophialophora_yegresii_EXJ62982	#87CEEB	Low (33.3%)
Cladophialophora_yegresii_EXJ57930	#87CEEB	Low (33.5%)
Cladophialophora_yegresii_EXJ57963	#87CEEB	Low (35.9%)
Cladophialophora_yegresii_EXJ58406	#87CEEB	Low (31.5%)
Cladophialophora_yegresii_EXJ56426	#87CEEB	Low (33.0%)
Cladophialophora_yegresii_EXJ57144	#87CEEB	Low (32.3%)
Cladophialophora_yegresii_EXJ57216	#EAFF80	Medium (47.7%)
Cladophialophora_yegresii_EXJ55280	#905799	Far distant (29.2%)
Cladophialophora_yegresii_EXJ55909	#905799	Far distant (28.9%)
Cladophialophora_yegresii_EXJ53858	#87CEEB	Low (32.6%)
Claviceps_purpurea_CCE27149	#87CEEB	Low (30.4%)
Claviceps_purpurea_CCE27797	#87CEEB	Low (31.4%)
Claviceps_purpurea_CCE27806	#87CEEB	Low (30.6%)
Claviceps_purpurea_CCE27807	#87CEEB	Low (31.1%)
Claviceps_purpurea_CCE28658	#87CEEB	Low (33.6%)
Clavispora_lusitaniae_EEQ36110	#87CEEB	Low (37.6%)
Clavispora_lusitaniae_EEQ37158	#87CEEB	Low (34.8%)
Clavispora_lusitaniae_EEQ37269	#87CEEB	Low (35.7%)
Clavispora_lusitaniae_EEQ37270	#87CEEB	Low (36.9%)
Clavispora_lusitaniae_EEQ38647	#87CEEB	Low (34.7%)
Clavispora_lusitaniae_EEQ40618	#87CEEB	Low (34.3%)
Clavispora_lusitaniae_EEQ40720	#87CEEB	Low (30.6%)
Clavispora_lusitaniae_EEQ40863	#87CEEB	Low (36.9%)
Clavispora_lusitaniae_EEQ41483	#87CEEB	Low (32.2%)
Clohesyomyces_aquaticus_ORY17560	#87CEEB	Low (30.4%)
Clohesyomyces_aquaticus_ORY06380	#905799	Far distant (28.6%)
Clohesyomyces_aquaticus_ORY04579	#EAFF80	Medium (40.8%)
Clohesyomyces_aquaticus_ORY02577	#905799	Far distant (29.1%)
Clohesyomyces_aquaticus_ORX99878	#87CEEB	Low (31.5%)
Clohesyomyces_aquaticus_ORX94102	#905799	Far distant (27.6%)
Clohesyomyces_aquaticus_ORY14370	#87CEEB	Low (35.8%)
Clohesyomyces_aquaticus_ORY14252	#87CEEB	Low (33.0%)
Clohesyomyces_aquaticus_ORX88887	#905799	Far distant (28.9%)
Clohesyomyces_aquaticus_ORY10391	#EAFF80	Medium (40.6%)
Clohesyomyces_aquaticus_ORY09777	#87CEEB	Low (30.6%)
Coccidioides_immitis_KMU82206	#87CEEB	Low (36.2%)
Coccidioides_immitis_KMU88160	#87CEEB	Low (33.7%)
Coccidioides_posadasii_EER25144	#87CEEB	Low (35.1%)
Coccidioides_posadasii_EER23194	#87CEEB	Low (33.7%)
Colletotrichum_chlorophyti_OLN96916	#87CEEB	Low (30.3%)
Colletotrichum_chlorophyti_OLN86033	#905799	Far distant (29.2%)
Colletotrichum_chlorophyti_OLN85833	#87CEEB	Low (37.2%)
Colletotrichum_chlorophyti_OLN84428	#87CEEB	Low (31.1%)
Colletotrichum_chlorophyti_OLN96239	#87CEEB	Low (38.7%)
Colletotrichum_chlorophyti_OLN83311	#87CEEB	Low (30.7%)
Colletotrichum_chlorophyti_OLN96106	#905799	Far distant (18.5%)
Colletotrichum_chlorophyti_OLN96107	#87CEEB	Low (34.2%)
Colletotrichum_chlorophyti_OLN96042	#87CEEB	Low (36.1%)
Colletotrichum_chlorophyti_OLN81367	#EAFF80	Medium (41.3%)
Colletotrichum_chlorophyti_OLN95257	#87CEEB	Low (36.3%)
Colletotrichum_chlorophyti_OLN95251	#87CEEB	Low (33.6%)
Colletotrichum_chlorophyti_OLN92200	#87CEEB	Low (37.5%)
Colletotrichum_chlorophyti_OLN90045	#87CEEB	Low (39.0%)
Colletotrichum_chlorophyti_OLN88080	#87CEEB	Low (33.3%)
Colletotrichum_chlorophyti_OLN87627	#87CEEB	Low (33.8%)
Colletotrichum_chlorophyti_OLN87542	#87CEEB	Low (36.9%)
Colletotrichum_fioriniae_EXF86353	#87CEEB	Low (34.6%)
Colletotrichum_fioriniae_EXF85295	#87CEEB	Low (35.5%)
Colletotrichum_fioriniae_EXF83867	#905799	Far distant (27.9%)
Colletotrichum_fioriniae_EXF82867	#87CEEB	Low (33.0%)
Colletotrichum_fioriniae_EXF81936	#87CEEB	Low (31.1%)
Colletotrichum_fioriniae_EXF81937	#905799	Far distant (25.4%)
Colletotrichum_fioriniae_EXF81755	#87CEEB	Low (33.6%)
Colletotrichum_fioriniae_EXF80050	#87CEEB	Low (38.7%)
Colletotrichum_fioriniae_EXF78822	#905799	Far distant (29.2%)
Colletotrichum_fioriniae_EXF77276	#87CEEB	Low (38.3%)
Colletotrichum_fioriniae_EXF77051	#87CEEB	Low (37.5%)
Colletotrichum_fioriniae_EXF76265	#87CEEB	Low (31.5%)
Colletotrichum_fioriniae_EXF74267	#87CEEB	Low (37.5%)
Colletotrichum_fioriniae_EXF74015	#87CEEB	Low (39.0%)
Colletotrichum_fioriniae_EXF73532	#87CEEB	Low (30.0%)
Colletotrichum_fioriniae_EXF73089	#87CEEB	Low (31.5%)
Colletotrichum_gloeosporioides_EQB59219	#87CEEB	Low (39.5%)
Colletotrichum_gloeosporioides_EQB58835	#87CEEB	Low (31.7%)
Colletotrichum_gloeosporioides_EQB57843	#87CEEB	Low (37.3%)
Colletotrichum_gloeosporioides_EQB56735	#87CEEB	Low (33.6%)
Colletotrichum_gloeosporioides_EQB56316	#905799	Far distant (29.6%)
Colletotrichum_gloeosporioides_EQB56327	#87CEEB	Low (30.6%)
Colletotrichum_gloeosporioides_EQB55671	#87CEEB	Low (37.5%)
Colletotrichum_gloeosporioides_EQB55395	#87CEEB	Low (31.5%)
Colletotrichum_gloeosporioides_EQB54726	#87CEEB	Low (38.3%)
Colletotrichum_gloeosporioides_EQB54004	#87CEEB	Low (32.2%)
Colletotrichum_gloeosporioides_EQB51727	#87CEEB	Low (33.6%)
Colletotrichum_gloeosporioides_EQB51620	#87CEEB	Low (33.9%)
Colletotrichum_gloeosporioides_EQB51580	#87CEEB	Low (34.5%)
Colletotrichum_gloeosporioides_EQB51305	#87CEEB	Low (32.5%)
Colletotrichum_gloeosporioides_EQB50353	#87CEEB	Low (30.1%)
Colletotrichum_gloeosporioides_EQB48553	#905799	Far distant (28.6%)
Colletotrichum_gloeosporioides_EQB48442	#87CEEB	Low (31.7%)
Colletotrichum_gloeosporioides_EQB48376	#87CEEB	Low (35.8%)
Colletotrichum_gloeosporioides_EQB47990	#87CEEB	Low (39.6%)
Colletotrichum_gloeosporioides_EQB47010	#87CEEB	Low (34.8%)
Colletotrichum_gloeosporioides_EQB46981	#87CEEB	Low (33.9%)
Colletotrichum_gloeosporioides_EQB46953	#905799	Far distant (29.6%)
Colletotrichum_gloeosporioides_EQB45221	#87CEEB	Low (31.6%)
Colletotrichum_gloeosporioides_EQB44640	#87CEEB	Low (31.7%)
Colletotrichum_gloeosporioides_EQB44340	#EAFF80	Medium (41.6%)
Colletotrichum_gloeosporioides_EQB44151	#87CEEB	Low (31.1%)
Colletotrichum_gloeosporioides_EQB44043	#87CEEB	Low (39.0%)
Colletotrichum_higginsianum_OBR16162	#87CEEB	Low (38.9%)
Colletotrichum_higginsianum_OBR16244	#EAFF80	Medium (40.6%)
Colletotrichum_higginsianum_OBR16485	#87CEEB	Low (30.8%)
Colletotrichum_higginsianum_OBR16491	#87CEEB	Low (34.1%)
Colletotrichum_higginsianum_OBR14497	#87CEEB	Low (33.1%)
Colletotrichum_higginsianum_OBR14553	#905799	Far distant (29.9%)
Colletotrichum_higginsianum_OBR12662	#87CEEB	Low (37.2%)
Colletotrichum_higginsianum_OBR12878	#87CEEB	Low (33.5%)
Colletotrichum_higginsianum_OBR09393	#87CEEB	Low (31.9%)
Colletotrichum_higginsianum_OBR07668	#87CEEB	Low (39.0%)
Colletotrichum_higginsianum_OBR04533	#EAFF80	Medium (40.2%)
Colletotrichum_higginsianum_OBR05241	#87CEEB	Low (35.5%)
Colletotrichum_higginsianum_OBR05325	#87CEEB	Low (33.9%)
Colletotrichum_higginsianum_OBR03224	#87CEEB	Low (36.5%)
Colletotrichum_higginsianum_OBR02532	#87CEEB	Low (30.7%)
Colletotrichum_higginsianum_OBR05780	#87CEEB	Low (33.9%)
Colletotrichum_higginsianum_OBR05827	#87CEEB	Low (33.0%)
Colletotrichum_higginsianum_OBR05833	#87CEEB	Low (32.5%)
Colletotrichum_higginsianum_OBR06018	#87CEEB	Low (33.9%)
Colletotrichum_higginsianum_OBR06181	#87CEEB	Low (38.7%)
Colletotrichum_higginsianum_OBR06633	#87CEEB	Low (35.4%)
Colletotrichum_incanum_KZL84267	#87CEEB	Low (34.2%)
Colletotrichum_incanum_KZL84275	#87CEEB	Low (31.4%)
Colletotrichum_incanum_KZL84249	#87CEEB	Low (31.5%)
Colletotrichum_incanum_KZL84120	#87CEEB	Low (32.3%)
Colletotrichum_incanum_KZL82700	#87CEEB	Low (37.4%)
Colletotrichum_incanum_KZL81588	#87CEEB	Low (33.5%)
Colletotrichum_incanum_KZL81564	#EAFF80	Medium (40.4%)
Colletotrichum_incanum_KZL87898	#87CEEB	Low (35.8%)
Colletotrichum_incanum_KZL80910	#87CEEB	Low (30.3%)
Colletotrichum_incanum_KZL80451	#87CEEB	Low (38.0%)
Colletotrichum_incanum_KZL78326	#87CEEB	Low (36.6%)
Colletotrichum_incanum_KZL78347	#87CEEB	Low (32.3%)
Colletotrichum_incanum_KZL76635	#87CEEB	Low (33.3%)
Colletotrichum_incanum_KZL75791	#87CEEB	Low (34.6%)
Colletotrichum_incanum_KZL69591	#87CEEB	Low (33.0%)
Colletotrichum_incanum_KZL64175	#905799	Far distant (29.9%)
Colletotrichum_incanum_KZL86952	#87CEEB	Low (32.8%)
Colletotrichum_incanum_KZL85897	#87CEEB	Low (35.4%)
Colletotrichum_incanum_KZL85222	#87CEEB	Low (37.1%)
Colletotrichum_incanum_KZL84912	#87CEEB	Low (31.5%)
Colletotrichum_nymphaeae_KXH64738	#87CEEB	Low (32.9%)
Colletotrichum_nymphaeae_KXH64028	#905799	Far distant (28.0%)
Colletotrichum_nymphaeae_KXH63185	#87CEEB	Low (37.7%)
Colletotrichum_nymphaeae_KXH62822	#87CEEB	Low (38.4%)
Colletotrichum_nymphaeae_KXH61392	#87CEEB	Low (37.2%)
Colletotrichum_nymphaeae_KXH53042	#87CEEB	Low (32.0%)
Colletotrichum_nymphaeae_KXH52365	#87CEEB	Low (36.1%)
Colletotrichum_nymphaeae_KXH51075	#87CEEB	Low (31.2%)
Colletotrichum_nymphaeae_KXH48230	#87CEEB	Low (37.2%)
Colletotrichum_nymphaeae_KXH47052	#87CEEB	Low (33.1%)
Colletotrichum_nymphaeae_KXH46884	#87CEEB	Low (32.7%)
Colletotrichum_nymphaeae_KXH43581	#87CEEB	Low (31.9%)
Colletotrichum_nymphaeae_KXH41352	#87CEEB	Low (30.4%)
Colletotrichum_nymphaeae_KXH30730	#87CEEB	Low (38.7%)
Colletotrichum_nymphaeae_KXH25605	#87CEEB	Low (31.6%)
Colletotrichum_nymphaeae_KXH25315	#87CEEB	Low (33.2%)
Colletotrichum_orchidophilum_OHE93560	#905799	Far distant (19.1%)
Colletotrichum_orchidophilum_OHE93330	#87CEEB	Low (34.8%)
Colletotrichum_orchidophilum_OHE92912	#87CEEB	Low (32.7%)
Colletotrichum_orchidophilum_OHE92475	#87CEEB	Low (30.4%)
Colletotrichum_orchidophilum_OHF01191	#87CEEB	Low (37.5%)
Colletotrichum_orchidophilum_OHE90926	#87CEEB	Low (31.2%)
Colletotrichum_orchidophilum_OHE90482	#87CEEB	Low (37.2%)
Colletotrichum_orchidophilum_OHF04315	#905799	Far distant (21.9%)
Colletotrichum_orchidophilum_OHE98513	#905799	Far distant (22.3%)
Colletotrichum_orchidophilum_OHE95838	#905799	Far distant (22.0%)
Colletotrichum_orchidophilum_OHE95047	#87CEEB	Low (37.2%)
Colletotrichum_orchidophilum_OHF03018	#905799	Far distant (28.8%)
Colletotrichum_orchidophilum_OHE94957	#87CEEB	Low (35.9%)
Colletotrichum_salicis_KXH69042	#87CEEB	Low (31.3%)
Colletotrichum_salicis_KXH68530	#905799	Far distant (28.4%)
Colletotrichum_salicis_KXH67179	#87CEEB	Low (30.0%)
Colletotrichum_salicis_KXH66980	#87CEEB	Low (35.3%)
Colletotrichum_salicis_KXH65897	#87CEEB	Low (37.9%)
Colletotrichum_salicis_KXH64862	#905799	Far distant (28.2%)
Colletotrichum_salicis_KXH64796	#87CEEB	Low (36.8%)
Colletotrichum_salicis_KXH60178	#87CEEB	Low (31.8%)
Colletotrichum_salicis_KXH59332	#905799	Far distant (29.0%)
Colletotrichum_salicis_KXH57314	#87CEEB	Low (33.9%)
Colletotrichum_salicis_KXH54836	#87CEEB	Low (36.1%)
Colletotrichum_salicis_KXH35626	#87CEEB	Low (38.7%)
Colletotrichum_salicis_KXH27586	#87CEEB	Low (30.5%)
Colletotrichum_salicis_KXH27587	#87CEEB	Low (33.9%)
Colletotrichum_salicis_KXH26415	#87CEEB	Low (30.4%)
Colletotrichum_simmondsii_KXH53630	#87CEEB	Low (37.5%)
Colletotrichum_simmondsii_KXH49474	#905799	Far distant (29.9%)
Colletotrichum_simmondsii_KXH48466	#87CEEB	Low (36.4%)
Colletotrichum_simmondsii_KXH40421	#87CEEB	Low (39.0%)
Colletotrichum_simmondsii_KXH36650	#87CEEB	Low (36.8%)
Colletotrichum_simmondsii_KXH36126	#87CEEB	Low (37.2%)
Colletotrichum_simmondsii_KXH35652	#87CEEB	Low (31.4%)
Colletotrichum_simmondsii_KXH34137	#87CEEB	Low (30.3%)
Colletotrichum_simmondsii_KXH33819	#87CEEB	Low (33.9%)
Colletotrichum_simmondsii_KXH33097	#905799	Far distant (27.9%)
Colletotrichum_simmondsii_KXH32654	#905799	Far distant (23.4%)
Colletotrichum_simmondsii_KXH32338	#87CEEB	Low (31.5%)
Colletotrichum_simmondsii_KXH30023	#87CEEB	Low (34.8%)
Colletotrichum_simmondsii_KXH26638	#87CEEB	Low (38.3%)
Colletotrichum_simmondsii_KXH26174	#87CEEB	Low (31.5%)
Colletotrichum_sublineola_KDN71495	#905799	Far distant (29.9%)
Colletotrichum_sublineola_KDN71038	#87CEEB	Low (32.8%)
Colletotrichum_sublineola_KDN70445	#EAFF80	Medium (42.8%)
Colletotrichum_sublineola_KDN70087	#87CEEB	Low (38.0%)
Colletotrichum_sublineola_KDN67646	#87CEEB	Low (35.8%)
Colletotrichum_sublineola_KDN67505	#87CEEB	Low (31.2%)
Colletotrichum_sublineola_KDN63367	#87CEEB	Low (38.0%)
Colletotrichum_sublineola_KDN62139	#87CEEB	Low (33.6%)
Colletotrichum_sublineola_KDN61047	#87CEEB	Low (36.0%)
Colletotrichum_sublineola_KDN60721	#87CEEB	Low (30.2%)
Colletotrichum_sublineola_KDN59917	#87CEEB	Low (36.2%)
Colletotrichum_tofieldiae_KZL78644	#87CEEB	Low (32.2%)
Colletotrichum_tofieldiae_KZL78711	#87CEEB	Low (39.2%)
Colletotrichum_tofieldiae_KZL69821	#87CEEB	Low (30.9%)
Colletotrichum_tofieldiae_KZL67869	#87CEEB	Low (31.1%)
Colletotrichum_tofieldiae_KZL76503	#87CEEB	Low (31.4%)
Colletotrichum_tofieldiae_KZL76511	#87CEEB	Low (31.9%)
Colletotrichum_tofieldiae_KZL66382	#EAFF80	Medium (43.2%)
Colletotrichum_tofieldiae_KZL76071	#87CEEB	Low (37.6%)
Colletotrichum_tofieldiae_KZL65841	#87CEEB	Low (35.2%)
Colletotrichum_tofieldiae_KZL74834	#905799	Far distant (29.3%)
Colletotrichum_tofieldiae_KZL73995	#87CEEB	Low (32.7%)
Colletotrichum_tofieldiae_KZL73957	#EAFF80	Medium (41.8%)
Colletotrichum_tofieldiae_KZL73851	#EAFF80	Medium (40.5%)
Colletotrichum_tofieldiae_KZL63424	#87CEEB	Low (36.0%)
Colletotrichum_tofieldiae_KZL71615	#87CEEB	Low (35.4%)
Colletotrichum_tofieldiae_KZL77569	#87CEEB	Low (34.7%)
Colletotrichum_tofieldiae_KZL71554	#87CEEB	Low (30.3%)
Colletotrichum_tofieldiae_KZL70958	#87CEEB	Low (38.3%)
Colletotrichum_tofieldiae_KZL70909	#87CEEB	Low (31.7%)
Colletotrichum_tofieldiae_KZL70078	#87CEEB	Low (36.5%)
Colletotrichum_tofieldiae_KZL69915	#87CEEB	Low (33.9%)
Conidiobolus_coronatus_KXN71920	#87CEEB	Low (31.1%)
Conidiobolus_coronatus_KXN71921	#905799	Far distant (29.2%)
Conidiobolus_coronatus_KXN70119	#905799	Far distant (27.6%)
Conidiobolus_coronatus_KXN68662	#905799	Far distant (29.9%)
Coniella_lustricola_PSS00624	#905799	Far distant (21.3%)
Coniella_lustricola_PSR97784	#87CEEB	Low (33.3%)
Coniella_lustricola_PSR82507	#87CEEB	Low (32.4%)
Coniella_lustricola_PSR80689	#87CEEB	Low (31.1%)
Coniella_lustricola_PSR78919	#905799	Far distant (23.9%)
Coniella_lustricola_PSR76942	#87CEEB	Low (36.2%)
Coniochaeta_ligniaria_OIW34670	#87CEEB	Low (35.9%)
Coniochaeta_ligniaria_OIW28384	#905799	Far distant (27.8%)
Coniochaeta_ligniaria_OIW27206	#87CEEB	Low (35.7%)
Coniochaeta_ligniaria_OIW26305	#87CEEB	Low (36.6%)
Coniochaeta_ligniaria_OIW25712	#87CEEB	Low (33.9%)
Coniochaeta_ligniaria_OIW25842	#905799	Far distant (29.9%)
Coniochaeta_ligniaria_OIW24597	#87CEEB	Low (36.4%)
Coniochaeta_ligniaria_OIW24055	#905799	Far distant (22.9%)
Coniochaeta_ligniaria_OIW24056	#87CEEB	Low (31.2%)
Coniosporium_apollinis_EON62591	#87CEEB	Low (32.9%)
Coniosporium_apollinis_EON63476	#EAFF80	Medium (40.5%)
Coniosporium_apollinis_EON64887	#87CEEB	Low (34.9%)
Coniosporium_apollinis_EON67534	#EAFF80	Medium (44.2%)
Coprinopsis_cinerea_EFI28545	#87CEEB	Low (35.8%)
Coprinopsis_cinerea_EAU83930	#87CEEB	Low (37.4%)
